Funds,Rating,1 Yr Ret (%),1 Yr Rank,Riskometer,Category,Expense Ratio (%),Launch,Net Assets (Cr)
Shriram Aggressive Hybrid Fund,1,-2.28,43/44,Very High,Hybrid - Aggressive,2.41,29-11-2013,48
Shriram Balanced Advantage Fund - Regular Plan,2,-4.01,35/36,Very High,Hybrid,2.39,05-07-2019,61
Shriram Multi Asset Allocation Fund - Regular Plan,--,-4.35,38/39,Very High,Hybrid,2.35,08-09-2023,146
Sundaram Aggressive Hybrid Fund,3,6.19,22/44,High,Hybrid - Aggressive,1.81,14-01-2000,"6,146"
Sundaram Arbitrage Fund - Regular Plan,2,6.79,15/27,Low,Hybrid,1,21-04-2016,299
Sundaram Balanced Advantage Fund,4,6.27,22/36,High,Hybrid,2.08,16-12-2010,"1,563"
Sundaram Conservative Hybrid Fund,3,6.27,23/28,Moderately High,Hybrid,2.15,08-03-2010,27
Sundaram Equity Savings Fund,3,7.92,Jun-22,Moderate,Hybrid,2.18,23-05-2002,"1,049"
Sundaram Multi Asset Allocation Fund - Regular Plan,--,11.04,Aug-39,High,Hybrid,1.86,25-01-2024,"2,625"
Tata Arbitrage Fund - Regular Plan,4,6.98,Sep-27,Low,Hybrid,1.08,18-12-2018,"14,982"
Tata Balanced Advantage Fund - Regular Plan,4,4.06,28/36,High,Hybrid,1.69,28-01-2019,"10,227"
Tata Equity Savings Fund - Regular Plan,4,7.27,Sep-22,Moderate,Hybrid,1.13,26-04-1997,265
Tata Hybrid Equity Fund - Regular Plan,3,3.35,37/44,Very High,Hybrid - Aggressive,1.92,08-10-1995,"4,074"
Tata Multi Asset Opportunities Fund - Regular Plan,2,6.13,32/39,Very High,Hybrid,1.84,04-03-2020,"3,795"
Tata Retirement Savings Fund - Conservative Plan - Regular Plan,2,5.76,26/28,High,Hybrid,2.17,01-11-2011,178
Tata Retirement Savings Fund - Moderate Plan - Regular Plan,3,6.72,15/44,Very High,Hybrid - Aggressive,2,01-11-2011,"2,151"
Unifi Dynamic Asset Allocation Fund - Regular Plan,--,--,--,Moderate,Hybrid,1.52,13-03-2025,640
Union Aggressive Hybrid Fund - Regular Plan,2,6.11,27/44,High,Hybrid - Aggressive,2.37,18-12-2020,652
Union Arbitrage Fund - Regular Plan,2,6.74,19/27,Low,Hybrid,1.07,20-02-2019,263
Union Balanced Advantage Fund - Regular Plan,3,4.38,26/36,Very High,Hybrid,2.15,29-12-2017,"1,383"
Union Equity Savings Fund - Regular Plan,2,4.83,21/22,Moderate,Hybrid,1.99,09-08-2018,138
Union Multi Asset Allocation Fund - Regular Plan,--,--,--,Very High,Hybrid,2.2,10-09-2024,785
UTI Aggressive Hybrid Fund - Regular Plan,5,7.21,Dec-44,Very High,Hybrid - Aggressive,1.88,20-03-1995,"6,254"
UTI Arbitrage Fund - Regular Plan,4,7.16,Jan-27,Low,Hybrid,0.76,22-06-2006,"7,308"
UTI Balanced Advantage Fund - Regular Plan,--,8.91,Jun-36,Very High,Hybrid,1.92,10-08-2023,"2,959"
UTI Children's Hybrid Fund - Regular Plan,--,6.65,05-Jun,High,Hybrid,1.73,12-07-1993,"4,610"
UTI Conservative Hybrid Fund - Regular Plan,4,8.49,Jul-28,Moderately High,Hybrid,1.82,16-12-2003,"1,684"
UTI Equity Savings Fund - Regular Plan,5,6.75,Nov-22,Moderate,Hybrid,1.64,30-08-2018,687
UTI Multi Asset Allocation Fund - Regular Plan,4,7.55,28/39,Very High,Hybrid,1.74,19-11-2008,"5,659"
UTI Retirement Fund - Regular Plan,--,8.03,02-Jun,High,Hybrid,1.66,26-12-1994,"4,725"
UTI Unit Linked Insurance Plan,2,9.8,Feb-36,High,Hybrid,1.64,01-10-1971,"5,468"
WhiteOak Capital Arbitrage Fund - Regular Plan,--,--,--,Low,Hybrid,1.12,09-09-2024,502
WhiteOak Capital Balanced Advantage Fund - Regular Plan,--,9.95,Jan-36,Very High,Hybrid,2.06,10-02-2023,"1,566"
WhiteOak Capital Balanced Hybrid Fund - Regular Plan,--,8.05,01-Jun,Very High,Hybrid,2.14,27-10-2023,184
WhiteOak Capital Equity Savings Fund - Regular Plan,--,--,--,Moderate,Hybrid,2.05,12-03-2025,77
WhiteOak Capital Multi Asset Allocation Fund - Regular Plan,--,15.52,Jan-39,High,Hybrid,1.73,19-05-2023,"2,245"
360 ONE ELSS Tax Saver Nifty 50 Index Fund - Regular Plan,--,7.09,Jun-38,Very High,Equity,0.52,28-12-2022,85
360 ONE FlexiCap Fund - Regular Plan,--,1.69,70/91,Very High,Equity,2.03,30-06-2023,"1,770"
360 ONE Focused Fund - Regular Plan,4,0.41,73/91,Very High,Equity,1.8,30-10-2014,"7,400"
360 ONE Quant Fund - Regular Plan,--,3.94,20/79,Very High,Equity,1.95,29-11-2021,709
Aditya Birla Sun Life Bal Bhavishya Yojna - Regular Plan,2,2.35,65/91,Very High,Equity,2.16,11-02-2019,"1,114"
Aditya Birla Sun Life Banking & Financial Services Fund - Regular Plan,2,10.23,18/52,Very High,Equity,1.97,14-12-2013,"3,515"
Aditya Birla Sun Life BSE India Infrastructure Index Fund - Regular Plan,--,--,--,Very High,Equity,1.07,04-12-2024,35
Aditya Birla Sun Life BSE Sensex ETF,--,7.37,30/144,Very High,Equity,0.04,18-07-2016,342
Aditya Birla Sun Life Business Cycle Fund - Regular Plan,--,4.6,18/79,Very High,Equity,2.14,03-12-2021,"1,771"
Aditya Birla Sun Life Conglomerate - Regular Plan,--,--,--,Very High,Equity,2.07,27-12-2024,"1,580"
Aditya Birla Sun Life Digital India Fund - Regular Plan,--,9.46,23/26,Very High,Equity,1.89,15-01-2000,"4,776"
Aditya Birla Sun Life Dividend Yield Fund - Regular Plan,--,0.67,05-Sep,Very High,Equity,2.22,26-02-2003,"1,471"
Aditya Birla Sun Life ELSS Tax Saver - Regular Plan,1,5.14,17/38,Very High,Equity,1.7,29-03-1996,"15,368"
Aditya Birla Sun Life Equity Advantage Fund - Regular Plan,1,1.84,27/54,Very High,Equity,1.9,24-02-1995,"5,737"
Aditya Birla Sun Life ESG Integration Strategy Fund - Regular Plan,--,7.85,02-Oct,Very High,Equity,2.44,24-12-2020,637
Aditya Birla Sun Life Flexi Cap Fund - Regular Plan,3,8.21,17/91,Very High,Equity,1.67,27-08-1998,"22,826"
Aditya Birla Sun Life Focused Fund - Regular Plan,3,8.89,Nov-91,Very High,Equity,1.81,24-10-2005,"7,774"
Aditya Birla Sun Life Frontline Equity Fund - Regular Plan,4,6.77,60/144,Very High,Equity,1.64,30-08-2002,"29,859"
Aditya Birla Sun Life Global Emerging Opportunities Fund - Regular Plan,--,7.4,--,Very High,Equity,1.16,17-09-2008,239
Aditya Birla Sun Life Global Excellence Equity FoF - Regular,--,3.8,--,Very High,Equity,1.28,31-12-2007,201
Aditya Birla Sun Life India GenNext Fund - Regular Plan,2,4.6,Nov-21,Very High,Equity,1.85,05-08-2005,"6,052"
Aditya Birla Sun Life Infrastructure Fund - Regular Plan,2,-4.04,13/22,Very High,Equity,2.27,17-03-2006,"1,141"
Aditya Birla Sun Life International Equity Fund - Regular Plan,--,22.24,Nov-60,Very High,Equity,2.54,31-10-2007,207
Aditya Birla Sun Life Manufacturing Equity Fund - Regular Plan,--,-1.2,41/79,Very High,Equity,2.29,31-01-2015,"1,058"
Aditya Birla Sun Life Mid Cap Fund - Regular Plan,2,2.85,23/53,Very High,Equity,1.89,03-10-2002,"5,922"
Aditya Birla Sun Life MNC Fund - Regular Plan,--,-2.72,03-Jun,Very High,Equity,2.01,22-04-1994,"3,672"
Aditya Birla Sun Life Multi-Cap Fund - Regular Plan,2,3.26,15/25,Very High,Equity,1.84,07-05-2021,"6,321"
Aditya Birla Sun Life NASDAQ 100 FOF - Regular Plan,--,12.28,39/60,Very High,Equity,0.62,01-11-2021,383
Aditya Birla Sun Life Nifty 200 Momentum 30 ETF,--,-11.3,48/54,Very High,Equity,0.29,12-08-2022,47
Aditya Birla Sun Life Nifty 200 Quality 30 ETF,--,1.85,26/54,Very High,Equity,0.29,12-08-2022,32
Aditya Birla Sun Life Nifty 50 Equal Weight Index Fund - Regular Plan,4,5.01,89/144,Very High,Equity,1.02,08-06-2021,396
Aditya Birla Sun Life Nifty 50 ETF,--,7.59,9/144,Very High,Equity,0.04,22-07-2011,"3,204"
Aditya Birla Sun Life Nifty 50 Index Fund - Regular Plan,3,7.11,43/144,Very High,Equity,0.47,18-09-2002,"1,066"
Aditya Birla Sun Life Nifty Bank ETF,--,8.99,28/52,Very High,Equity,0.14,23-10-2019,"2,677"
Aditya Birla Sun Life Nifty Healthcare ETF,--,13.84,14/23,Very High,Equity,0.19,20-10-2021,37
Aditya Birla Sun Life Nifty India Defence Index Fund - Regular Plan,--,--,--,Very High,Equity,1.06,30-08-2024,664
Aditya Birla Sun Life Nifty IT ETF,--,13.54,13/26,Very High,Equity,0.19,29-10-2021,50
Aditya Birla Sun Life Nifty Midcap 150 Index Fund - Regular Plan,3,1.98,31/53,Very High,Equity,1.01,01-04-2021,358
Aditya Birla Sun Life Nifty Next 50 ETF,--,-6.2,126/144,Very High,Equity,0.09,19-12-2018,136
Aditya Birla Sun Life Nifty Next 50 Index Fund - Regular Plan,1,-7.32,144/144,Very High,Equity,0.88,18-02-2022,230
Aditya Birla Sun Life Nifty PSE ETF,--,-5.51,05-Jul,Very High,Equity,0.2,17-05-2024,35
Aditya Birla Sun Life Nifty Smallcap 50 Index Fund - Regular Plan,2,2.35,Oct-44,Very High,Equity,1.01,01-04-2021,231
Aditya Birla Sun Life Pharma & Healthcare Fund - Regular Plan,2,9.97,21/23,Very High,Equity,2.33,11-07-2019,814
Aditya Birla Sun Life PSU Equity Fund - Regular Plan,--,-7.38,06-Jul,Very High,Equity,1.79,30-12-2019,"5,582"
Aditya Birla Sun Life Pure Value Fund - Regular Plan,2,1.72,19/31,Very High,Equity,1.88,27-03-2008,"6,161"
Aditya Birla Sun Life Quant Fund - Regular Plan,--,--,--,Very High,Equity,1.97,28-06-2024,"2,455"
Aditya Birla Sun Life Retirement Fund - The 30s Plan - Regular Plan,2,5.9,28/91,Very High,Equity,2.41,11-03-2019,404
Aditya Birla Sun Life Small Cap Fund - Regular Plan,1,-0.74,22/44,Very High,Equity,1.92,31-05-2007,"4,914"
Aditya Birla Sun Life Special Opportunities Fund - Regular Plan,--,6.26,13/79,Very High,Equity,2.39,23-10-2020,777
Aditya Birla Sun Life Transportation and Logistics Fund - Regular Plan,--,-5.96,64/79,Very High,Equity,2.11,17-11-2023,"1,471"
Angel One Nifty 50 ETF,--,--,--,Very High,Equity,0.09,22-05-2025,7
Angel One Nifty 50 Index Fund - Regular Plan,--,--,--,Very High,Equity,0.7,22-05-2025,39
Angel One Nifty Total Market ETF,--,--,--,Very High,Equity,0.28,28-02-2025,22
Angel One Nifty Total Market Index Fund - Regular Plan,--,--,--,Very High,Equity,1.03,28-02-2025,38
Axis BSE Sensex ETF,--,7.39,28/144,Very High,Equity,0.04,24-03-2023,132
Axis BSE Sensex Index Fund - Regular Plan,--,6.67,62/144,Very High,Equity,0.7,27-02-2024,48
Axis Business Cycles Fund - Regular Plan,--,3.37,23/79,Very High,Equity,1.99,22-02-2023,"2,404"
Axis Consumption Fund - Regular Plan,--,--,--,Very High,Equity,1.86,12-09-2024,"4,100"
Axis ELSS Tax Saver Fund,1,5.41,13/38,Very High,Equity,1.53,29-12-2009,"35,358"
Axis Equity ETFs FoF - Regular Plan,2,-3.91,82/91,Very High,Equity,0.7,24-02-2022,32
Axis ESG Integration Strategy Fund - Regular Plan,--,3.71,08-Oct,Very High,Equity,2.22,12-02-2020,"1,246"
Axis Flexi Cap Fund - Regular Plan,2,5.55,33/91,Very High,Equity,1.71,20-11-2017,"12,824"
Axis Focused Fund,1,5.86,30/91,Very High,Equity,1.74,29-06-2012,"12,644"
Axis Global Equity Alpha FoF - Regular Plan,--,16.03,19/60,Very High,Equity,1.63,24-09-2020,898
Axis Global Innovation FoF - Regular Plan,--,9.57,44/60,Very High,Equity,1.62,28-05-2021,519
Axis Greater China Equity FoF - Regular Plan,--,12.45,37/60,Very High,Equity,1.57,10-02-2021,513
Axis India Manufacturing Fund - Regular Plan,--,-2.32,47/79,Very High,Equity,1.81,21-12-2023,"5,533"
Axis Innovation Fund - Regular Plan,--,4.24,19/79,Very High,Equity,2.25,24-12-2020,"1,175"
Axis Large Cap Fund - Regular Plan,1,4.65,93/144,Very High,Equity,1.57,05-01-2010,"33,413"
Axis Large & Mid Cap Fund - Regular Plan,3,4.29,15/54,Very High,Equity,1.68,22-10-2018,"14,349"
Axis Midcap Fund - Regular Plan,2,3.35,17/53,Very High,Equity,1.57,18-02-2011,"30,502"
Axis Momentum Fund - Regular Plan,--,--,--,Very High,Equity,2.11,12-12-2024,"1,324"
Axis Multicap Fund - Regular Plan,4,6.83,Apr-25,Very High,Equity,1.79,17-12-2021,"7,782"
Axis NASDAQ 100 FoF - Regular Plan,--,12.18,40/60,Very High,Equity,0.6,01-11-2022,165
Axis Nifty 100 Index Fund - Regular Plan,2,4.12,99/144,Very High,Equity,0.92,18-10-2019,"1,883"
Axis Nifty 500 Index Fund - Regular Plan,--,--,--,Very High,Equity,1,12-07-2024,283
Axis Nifty500 Momentum 50 Index Fund - Regular Plan,--,--,--,Very High,Equity,1.06,13-02-2025,68
Axis Nifty500 Value 50 ETF,--,--,--,Very High,Equity,0.25,13-03-2025,12
Axis Nifty500 Value 50 Index Fund - Regular Plan,--,--,--,Very High,Equity,1.06,24-10-2024,90
Axis Nifty 50 ETF,--,7.59,14/144,Very High,Equity,0.04,03-07-2017,734
Axis Nifty 50 Index Fund - Regular Plan,3,7.2,38/144,Very High,Equity,0.42,03-12-2021,706
Axis Nifty Bank ETF,--,9.02,25/52,Very High,Equity,0.19,03-11-2020,333
Axis Nifty Bank Index Fund - Regular Plan,--,8.15,41/52,Very High,Equity,1,24-05-2024,145
Axis NIFTY Healthcare ETF,--,13.73,16/23,Very High,Equity,0.34,17-05-2021,19
Axis NIFTY India Consumption ETF,--,5.3,Aug-21,Very High,Equity,0.38,17-09-2021,13
Axis NIFTY IT ETF,--,13.53,14/26,Very High,Equity,0.23,25-03-2021,194
Axis Nifty IT Index Fund - Regular Plan,--,12.53,20/26,Very High,Equity,1.03,14-07-2023,131
Axis Nifty Midcap 50 Index Fund - Regular Plan,3,4.16,13/53,Very High,Equity,1.03,28-03-2022,446
Axis Nifty Next 50 Index Fund - Regular Plan,2,-7.06,139/144,Very High,Equity,1.01,28-01-2022,337
Axis Nifty Smallcap 50 Index Fund - Regular Plan,3,1.8,13/44,Very High,Equity,1.02,10-03-2022,487
Axis Quant Fund - Regular Plan,--,-3.33,51/79,Very High,Equity,2.22,30-06-2021,969
Axis Small Cap Fund - Regular Plan,3,5.88,Jul-44,Very High,Equity,1.6,29-11-2013,"25,062"
Axis Value Fund - Regular Plan,4,6.13,Apr-31,Very High,Equity,2.25,22-09-2021,921
Bajaj Finserv Consumption Fund - Regular Plan,--,--,--,Very High,Equity,2.33,29-11-2024,571
Bajaj Finserv ELSS Tax Saver Fund - Regular Plan,--,--,--,Very High,Equity,2.25,29-01-2025,56
Bajaj Finserv Flexi Cap Fund - Regular Plan,--,6.21,25/91,Very High,Equity,1.83,14-08-2023,"4,850"
Bajaj Finserv Healthcare Fund - Regular Plan,--,--,--,Very High,Equity,2.37,27-12-2024,321
Bajaj Finserv Large and Mid Cap Fund - Regular Plan,--,4.44,14/54,Very High,Equity,2.02,27-02-2024,"1,984"
Bajaj Finserv Large Cap Fund - Regular Plan,--,--,--,Very High,Equity,2.07,20-08-2024,"1,496"
Bajaj Finserv Multi Cap Fund - Regular Plan,--,--,--,Very High,Equity,2.3,27-02-2025,696
Bajaj Finserv Nifty 50 ETF,--,7.57,17/144,Very High,Equity,0.07,19-01-2024,201
Bajaj Finserv Nifty 50 Index Fund - Regular Plan,--,--,--,Very High,Equity,0.9,15-05-2025,7
Bajaj Finserv Nifty Bank ETF,--,9.06,22/52,Very High,Equity,0.1,19-01-2024,321
Bajaj Finserv Nifty Next 50 Index Fund - Regular Plan,--,--,--,Very High,Equity,0.95,12-05-2025,8
Bajaj Finserv Small Cap Fund - Regular Plan,--,--,--,Very High,Equity,--,--,--
Bandhan BSE Healthcare Index Fund - Regular Plan,--,--,--,Very High,Equity,1.01,06-09-2024,18
Bandhan BSE Sensex ETF,--,7.04,49/144,Very High,Equity,0.38,07-10-2016,1
Bandhan Business Cycle Fund - Regular Plan,--,--,--,Very High,Equity,2.05,30-09-2024,"1,683"
Bandhan ELSS Tax Saver Fund - Regular Plan,4,2,29/38,Very High,Equity,1.74,26-12-2008,"6,955"
Bandhan Financial Services Fund - Regular Plan,--,12.85,14/52,Very High,Equity,2.18,28-07-2023,"1,039"
Bandhan Flexi Cap Fund - Regular Plan,3,6.14,26/91,Very High,Equity,1.86,28-09-2005,"7,357"
Bandhan Focused Fund - Regular Plan,3,9.56,Aug-91,Very High,Equity,2.09,16-03-2006,"1,839"
Bandhan Infrastructure Fund - Regular Plan,3,-6.85,19/22,Very High,Equity,2.1,08-03-2011,"1,701"
Bandhan Innovation Fund - Regular Plan,--,14.67,Apr-79,Very High,Equity,2.08,30-04-2024,"1,512"
Bandhan Large Cap Fund - Regular Plan,4,5.84,77/144,Very High,Equity,2.04,09-06-2006,"1,862"
Bandhan Large & Mid Cap Fund - Regular Plan,5,6.26,Aug-54,Very High,Equity,1.74,09-08-2005,"9,107"
Bandhan Midcap Fund - Regular Plan,--,1.94,33/53,Very High,Equity,2.07,18-08-2022,"1,680"
Bandhan Multi Cap Fund - Regular Plan,3,3.05,16/25,Very High,Equity,1.95,02-12-2021,"2,617"
Bandhan Nifty 100 Index Fund - Regular Plan,2,4.36,96/144,Very High,Equity,0.61,24-02-2022,182
Bandhan Nifty100 Low Volatility 30 Index Fund - Regular Plan,--,5.47,80/144,Very High,Equity,1.04,06-10-2022,"1,499"
Bandhan Nifty200 Momentum 30 Index Fund - Regular Plan,--,-12.15,54/54,Very High,Equity,1.07,02-09-2022,132
Bandhan Nifty 200 Quality 30 Index Fund - Regular Plan,--,--,--,Very High,Equity,0.98,04-12-2024,12
Bandhan Nifty 500 Momentum 50 Index Fund - Regular Plan,--,--,--,Very High,Equity,1.01,29-10-2024,24
Bandhan Nifty 500 Value 50 Index Fund - Regular Plan,--,--,--,Very High,Equity,1.01,29-10-2024,13
Bandhan Nifty 50 ETF,--,7.55,19/144,Very High,Equity,0.09,07-10-2016,28
Bandhan Nifty 50 Index Fund - Regular Plan,3,6.84,59/144,Very High,Equity,0.6,30-04-2010,"1,886"
Bandhan Nifty Alpha 50 Index Fund - Regular Plan,--,-8.41,88/91,Very High,Equity,1.02,09-11-2023,448
Bandhan Nifty Alpha Low Volatility 30 Index Fund - Regular Plan,--,--,--,Very High,Equity,1,23-01-2025,8
Bandhan Nifty Bank Index Fund - Regular Plan,--,--,--,Very High,Equity,1,27-08-2024,18
Bandhan Nifty IT Index Fund - Regular Plan,--,12.79,17/26,Very High,Equity,1.02,31-08-2023,26
Bandhan Nifty Midcap 150 Index Fund - Regular Plan,--,--,--,Very High,Equity,0.85,19-09-2024,25
Bandhan Nifty Next 50 Index Fund - Regular Plan,--,--,--,Very High,Equity,1,28-02-2025,17
Bandhan Nifty Smallcap 250 Index Fund - Regular Plan,--,-1.65,34/44,Very High,Equity,0.89,22-12-2023,55
Bandhan Nifty Total Market Index Fund - Regular Plan,--,--,--,Very High,Equity,1.05,10-07-2024,40
Bandhan Small Cap Fund - Regular Plan,4,12.97,Feb-44,Very High,Equity,1.68,25-02-2020,"11,744"
Bandhan Transportation and Logistics Fund - Regular Plan,--,-5.62,60/79,Very High,Equity,2.4,27-10-2022,548
Bandhan US Equity FoF - Regular Plan,--,9.98,42/60,Very High,Equity,1.61,20-08-2021,316
Bandhan Value Fund - Regular Plan,4,0.99,21/31,Very High,Equity,1.75,07-03-2008,"9,961"
Bank of India Bluechip Fund - Regular Plan,4,-2.84,120/144,Very High,Equity,2.44,29-06-2021,201
Bank of India Business Cycle Fund - Regular Plan,--,--,--,Very High,Equity,2.45,30-08-2024,564
Bank of India Consumption Fund - Regular Plan,--,--,--,Very High,Equity,2.46,20-12-2024,383
Bank of India ELSS Tax Saver Fund - Regular Plan,3,-7.45,35/38,Very High,Equity,2.09,25-02-2009,"1,398"
Bank of India Flexi Cap Fund - Regular Plan,4,-3.76,81/91,Very High,Equity,1.99,29-06-2020,"2,153"
Bank of India Large & Mid Cap Equity Fund - Regular Plan,2,-0.34,36/54,Very High,Equity,2.48,21-10-2008,399
Bank of India Manufacturing & Infrastructure Fund - Regular Plan,3,-0.36,Jun-22,Very High,Equity,2.37,05-03-2010,573
Bank of India Multi Cap Fund - Regular Plan,--,2.22,17/25,Very High,Equity,2.31,03-03-2023,857
Bank of India Small Cap Fund - Regular Plan,3,-0.02,18/44,Very High,Equity,2.03,19-12-2018,"1,819"
Baroda BNP Paribas Aqua FoF - Regular Plan,--,8.22,--,Very High,Equity,1.58,07-05-2021,37
Baroda BNP Paribas Banking and Financial Services Fund - Regular Plan,3,14.64,Jul-52,Very High,Equity,2.41,22-06-2012,271
Baroda BNP Paribas Business Cycle Fund - Regular Plan,--,-0.18,34/79,Very High,Equity,2.38,15-09-2021,582
Baroda BNP Paribas Children's Fund - Regular Plan,--,--,--,Very High,Equity,2.34,27-12-2024,86
Baroda BNP Paribas Dividend Yield Fund - Regular Plan,--,--,--,Very High,Equity,2.17,11-09-2024,985
Baroda BNP Paribas ELSS Tax Saver Fund - Regular Plan,3,5.15,16/38,Very High,Equity,2.23,05-01-2006,912
Baroda BNP Paribas Energy Opportunities Fund - Regular Plan,--,--,--,Very High,Equity,2.3,10-02-2025,757
Baroda BNP Paribas Flexi Cap Fund - Regular Plan,--,2.96,60/91,Very High,Equity,2.17,17-08-2022,"1,274"
Baroda BNP Paribas Focused Fund - Regular Plan,2,-3.41,80/91,Very High,Equity,2.29,06-10-2017,685
Baroda BNP Paribas Health and Wellness Fund - Regular Plan,--,--,--,Very High,Equity,--,--,--
Baroda BNP Paribas India Consumption Fund - Regular Plan,3,2.17,16/21,Very High,Equity,2.09,07-09-2018,"1,434"
Baroda BNP Paribas Innovation Fund - Regular Plan,--,3.41,22/79,Very High,Equity,2.26,05-03-2024,997
Baroda BNP Paribas Large Cap Fund - Regular Plan,4,2.79,104/144,Very High,Equity,1.98,23-09-2004,"2,614"
Baroda BNP Paribas Large & Mid Cap Fund - Regular Plan,3,2.95,20/54,Very High,Equity,2.11,04-09-2020,"1,581"
Baroda BNP Paribas Manufacturing Fund - Regular Plan,--,--,--,Very High,Equity,2.12,28-06-2024,"1,308"
Baroda BNP Paribas Midcap Fund - Regular Plan,3,0.82,39/53,Very High,Equity,2.01,02-05-2006,"2,137"
Baroda BNP Paribas Multi Cap Fund - Regular Plan,3,1.85,19/25,Very High,Equity,1.99,12-09-2003,"2,840"
Baroda BNP Paribas Nifty200 Momentum 30 Index Fund - Regular Plan,--,--,--,Very High,Equity,1.1,15-10-2024,25
Baroda BNP Paribas NIFTY 50 Index Fund - Regular Plan,--,6.85,58/144,Very High,Equity,0.56,29-01-2024,65
Baroda BNP Paribas Nifty Bank ETF,--,--,--,Very High,Equity,0.09,18-06-2024,4
Baroda BNP Paribas Nifty Midcap 150 Index Fund - Regular Plan,--,--,--,Very High,Equity,1.08,04-11-2024,9
Baroda BNP Paribas Small Cap Fund - Regular Plan,--,-2.28,37/44,Very High,Equity,2.16,30-10-2023,"1,291"
Baroda BNP Paribas Value Fund - Regular Plan,--,-3.26,26/31,Very High,Equity,2.18,07-06-2023,"1,319"
BHARAT 22 ETF,--,-1.02,118/144,Very High,Equity,0.07,24-11-2017,"17,475"
Canara Robeco Consumer Trends Fund - Regular Plan,3,4.53,Dec-21,Very High,Equity,2.07,14-09-2009,"1,848"
Canara Robeco ELSS Tax Saver Fund - Regular Plan,3,5.27,14/38,Very High,Equity,1.69,31-03-1993,"8,859"
Canara Robeco Flexi Cap Fund - Regular Plan,3,6.45,23/91,Very High,Equity,1.68,16-09-2003,"13,057"
Canara Robeco Focused Fund - Regular Plan,4,10.84,Apr-91,Very High,Equity,1.93,17-05-2021,"2,615"
Canara Robeco Infrastructure Fund - Regular Plan,4,0.01,May-22,Very High,Equity,2.28,02-12-2005,904
Canara Robeco Large and Mid Cap Fund - Regular Plan,3,5.06,Dec-54,Very High,Equity,1.6,11-03-2005,"25,092"
Canara Robeco Large Cap Fund - Regular Plan,4,8.22,3/144,Very High,Equity,1.65,20-08-2010,"16,027"
Canara Robeco Manufacturing Fund - Regular Plan,--,-1.14,40/79,Very High,Equity,2.08,11-03-2024,"1,626"
Canara Robeco Mid Cap Fund - Regular Plan,--,5.15,Aug-53,Very High,Equity,1.93,02-12-2022,"2,962"
Canara Robeco Multi Cap Fund - Regular Plan,--,5.51,Jul-25,Very High,Equity,1.84,28-07-2023,"4,284"
Canara Robeco Small Cap Fund - Regular Plan,3,-0.52,20/44,Very High,Equity,1.68,15-02-2019,"12,368"
Canara Robeco Value Fund - Regular Plan,4,3.53,Sep-31,Very High,Equity,2.12,03-09-2021,"1,283"
CPSE ETF,--,0.21,01-Jul,Very High,Equity,0.07,28-03-2014,"36,795"
DSP Banking & Financial Services Fund - Regular Plan,--,20.09,Mar-52,Very High,Equity,2.13,08-12-2023,"1,290"
DSP BSE Sensex ETF,--,7.24,34/144,Very High,Equity,0.07,27-07-2023,9
DSP BSE Sensex Next 30 ETF,--,--,--,Very High,Equity,0.15,30-01-2025,23
DSP BSE Sensex Next 30 Index Fund - Regular Plan,--,--,--,Very High,Equity,0.83,30-01-2025,10
DSP Business Cycle Fund - Regular Plan,--,--,--,Very High,Equity,2.18,17-12-2024,"1,082"
DSP ELSS Tax Saver Fund - Regular Plan,4,7.03,Jul-38,Very High,Equity,1.64,18-01-2007,"16,974"
DSP Flexi Cap Fund - Regular Plan,3,4.96,40/91,Very High,Equity,1.74,29-04-1997,"11,837"
DSP Focused Fund - Regular Plan,4,5.81,31/91,Very High,Equity,2.03,10-06-2010,"2,576"
DSP Global Clean Energy Fund of Fund - Regular Plan,--,2.18,58/60,Very High,Equity,2.13,14-08-2009,85
DSP Global Innovation FoF - Regular Plan,--,10.6,--,Very High,Equity,2.05,14-02-2022,953
DSP Healthcare Fund - Regular Plan,4,14.99,Aug-23,Very High,Equity,1.94,30-11-2018,"2,961"
DSP India T.I.G.E.R. Fund - Regular Plan,4,-5.32,16/22,Very High,Equity,1.88,11-06-2004,"5,319"
DSP Large Cap Fund - Regular Plan,4,10.45,2/144,Very High,Equity,1.87,10-03-2003,"6,036"
DSP Large & Mid Cap Fund - Regular Plan,3,4.81,13/54,Very High,Equity,1.7,16-05-2000,"15,013"
DSP Midcap Fund - Regular Plan,1,1.04,37/53,Very High,Equity,1.68,14-11-2006,"18,712"
DSP Multicap Fund - Regular Plan,--,2.1,18/25,Very High,Equity,1.99,30-01-2024,"2,263"
DSP Natural Resources and New Energy Fund - Regular Plan,--,-5.53,03-Mar,Very High,Equity,2.11,25-04-2008,"1,292"
DSP NIFTY 50 Equal Weight ETF,--,5.87,76/144,Very High,Equity,0.2,08-11-2021,559
DSP Nifty 50 Equal Weight Index Fund - Regular Plan,5,5.11,86/144,Very High,Equity,0.92,23-10-2017,"2,136"
DSP Nifty 50 ETF,--,7.57,16/144,Very High,Equity,0.06,23-12-2021,360
DSP Nifty 50 Index Fund - Regular Plan,3,7.21,36/144,Very High,Equity,0.36,21-02-2019,739
DSP Nifty Bank ETF,--,8.99,30/52,Very High,Equity,0.15,03-01-2023,694
DSP Nifty Bank Index Fund - Regular Plan,--,8.15,42/52,Very High,Equity,0.8,31-05-2024,52
